trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.1, 'e': 0.3299999999999994}",25,16,-36.96462816116931,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.1, 'e': 0.3249999999999994}",30,3,18.962031929549795,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.1, 'e': 0.3199999999999994}",30,16,4.190219686747534,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.1, 'e': 0.3149999999999994}",20,10,1.911803004338244,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.3099999999999994}",20,7,4.453075358265406,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.3049999999999994}",25,19,6.303900603375769,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.2999999999999994}",25,8,-49.06811005980167,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.2949999999999994}",20,11,-23.71833020481325,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.1, 'e': 0.28999999999999937}",20,0,32.80086694110234,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.1, 'e': 0.28499999999999936}",25,9,19.776827561027684,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.27999999999999936}",25,0,-27.181692594885774,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
145,False,"{'a': 0.1, 'e': 0.27499999999999936}",25,3,-32.84936220562014,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
146,False,"{'a': 0.1, 'e': 0.26999999999999935}",20,9,-22.534449777934007,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.1, 'e': 0.26499999999999935}",20,8,23.207260336513624,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.1, 'e': 0.25999999999999934}",30,12,23.127677810370145,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1, 'e': 0.25499999999999934}",25,12,17.854640490268377,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.1, 'e': 0.24999999999999933}",20,16,9.091109494235306,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.1, 'e': 0.24499999999999933}",30,16,0.6718509681674887,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.1, 'e': 0.23999999999999932}",25,17,17.59204090512927,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.1, 'e': 0.23499999999999932}",20,8,11.733118237749183,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1, 'e': 0.22999999999999932}",25,13,3.037169963528497,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
155,False,"{'a': 0.1, 'e': 0.2249999999999993}",20,12,14.755856517032711,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.1, 'e': 0.2199999999999993}",20,12,15.062106689735693,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1, 'e': 0.2149999999999993}",25,19,-1.2877381371781726,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.1, 'e': 0.2099999999999993}",25,1,27.490625378028973,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.1, 'e': 0.2049999999999993}",20,7,-1.1775173648144883,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.1, 'e': 0.1999999999999993}",25,16,14.512305644471068,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
